epoch,step,train_loss_epoch,train_loss_step,val/rmse,val_loss
0,12,,,0.9185631275177002,0.8437581658363342
0,12,0.9679489731788635,,,
1,25,,,0.8424721956253052,0.7097594141960144
1,25,0.8492525815963745,,,
2,38,,,0.7426894903182983,0.5515876412391663
2,38,0.7120336294174194,,,
3,49,,0.6276952624320984,,
3,51,,,0.8466132283210754,0.7167539596557617
3,51,0.5537996888160706,,,
4,64,,,0.7886815071105957,0.6220185160636902
4,64,0.4162439703941345,,,
5,77,,,0.6486902236938477,0.42079898715019226
5,77,0.3652800917625427,,,
6,90,,,0.6961697936058044,0.4846523702144623
6,90,0.3710339665412903,,,
7,99,,0.3564870059490204,,
7,103,,,0.6327817440032959,0.40041276812553406
7,103,0.35118645429611206,,,
8,116,,,0.5715569257736206,0.3266773223876953
8,116,0.2932603061199188,,,
9,129,,,0.5463410019874573,0.29848846793174744
9,129,0.25172939896583557,,,
10,142,,,0.6463447213172913,0.41776153445243835
10,142,0.22850625216960907,,,
11,149,,0.19307076930999756,,
11,155,,,0.5103501677513123,0.260457307100296
11,155,0.2077118456363678,,,
12,168,,,0.513286828994751,0.2634633481502533
12,168,0.18633511662483215,,,
13,181,,,0.437205046415329,0.19114825129508972
13,181,0.18112896382808685,,,
14,194,,,0.49425944685935974,0.24429239332675934
14,194,0.15461431443691254,,,
15,199,,0.11748979240655899,,
15,207,,,0.5251973271369934,0.2758322060108185
15,207,0.16734503209590912,,,
16,220,,,0.40084996819496155,0.16068069636821747
16,220,0.15612836182117462,,,
17,233,,,0.43578392267227173,0.18990762531757355
17,233,0.14190399646759033,,,
18,246,,,0.39667344093322754,0.15734981000423431
18,246,0.12740716338157654,,,
19,249,,0.11471592634916306,,
19,259,,,0.35902753472328186,0.12890076637268066
19,259,0.12970082461833954,,,
20,272,,,0.40975767374038696,0.16790135204792023
20,272,0.11886369436979294,,,
21,285,,,0.33591634035110474,0.11283979564905167
21,285,0.1229318156838417,,,
22,298,,,0.3479371666908264,0.12106026709079742
22,298,0.11033173650503159,,,
23,299,,0.12194620817899704,,
23,311,,,0.32679620385169983,0.10679575055837631
23,311,0.11039174348115921,,,
24,324,,,0.3174639344215393,0.10078335553407669
24,324,0.10074462741613388,,,
25,337,,,0.3105555474758148,0.0964447408914566
25,337,0.09754873067140579,,,
26,349,,0.04541661962866783,,
26,350,,,0.30910903215408325,0.09554839134216309
26,350,0.09440600872039795,,,
27,363,,,0.3073439598083496,0.09446031600236893
27,363,0.0949142724275589,,,
28,376,,,0.3056547939777374,0.09342484921216965
28,376,0.09797181189060211,,,
29,389,,,0.3221293091773987,0.1037672907114029
29,389,0.09247701615095139,,,
30,399,,0.10061812400817871,,
30,402,,,0.3013371229171753,0.09080406278371811
30,402,0.08876761049032211,,,
31,415,,,0.3153773546218872,0.09946286678314209
31,415,0.08499761670827866,,,
32,428,,,0.3307151198387146,0.10937248915433884
32,428,0.08340707421302795,,,
33,441,,,0.28652969002723694,0.08209926635026932
33,441,0.08625376969575882,,,
34,449,,0.055738020688295364,,
34,454,,,0.2915026843547821,0.08497381210327148
34,454,0.08127924799919128,,,
35,467,,,0.3047249913215637,0.09285731613636017
35,467,0.08274178951978683,,,
36,480,,,0.27838334441185,0.07749728113412857
36,480,0.07967369258403778,,,
37,493,,,0.3128848671913147,0.09789693355560303
37,493,0.07905034720897675,,,
38,499,,0.07608669251203537,,
38,506,,,0.2919715642929077,0.08524739742279053
38,506,0.07554609328508377,,,
39,519,,,0.28507426381111145,0.0812673345208168
39,519,0.07639891654253006,,,
40,532,,,0.27790567278862,0.07723156362771988
40,532,0.07840007543563843,,,
41,545,,,0.285591721534729,0.08156262338161469
41,545,0.0852280855178833,,,
42,549,,0.08658469468355179,,
42,558,,,0.2834165394306183,0.0803249329328537
42,558,0.07765959948301315,,,
43,571,,,0.28013846278190613,0.07847755402326584
43,571,0.07057828456163406,,,
44,584,,,0.2817211449146271,0.07936680316925049
44,584,0.07210952043533325,,,
45,597,,,0.2784692049026489,0.07754509896039963
45,597,0.07056060433387756,,,
46,599,,0.03852616623044014,,
46,610,,,0.2832726836204529,0.08024341613054276
46,610,0.06931200623512268,,,
47,623,,,0.27949899435043335,0.07811969518661499
47,623,0.06871972978115082,,,
48,636,,,0.2773774564266205,0.07693825662136078
48,636,0.06972049921751022,,,
49,649,,0.042261745780706406,,
49,649,,,0.27279970049858093,0.07441967725753784
49,649,0.06762231886386871,,,
50,662,,,0.2771085500717163,0.07678914070129395
50,662,0.06619792431592941,,,
51,675,,,0.280269056558609,0.07855074852705002
51,675,0.06616596132516861,,,
52,688,,,0.30398884415626526,0.09240921586751938
52,688,0.06446016579866409,,,
53,699,,0.09472593665122986,,
53,701,,,0.28343823552131653,0.08033724129199982
53,701,0.06721913069486618,,,
54,714,,,0.27043718099594116,0.07313627004623413
54,714,0.06475095450878143,,,
55,727,,,0.2778027355670929,0.0771743655204773
55,727,0.06385385245084763,,,
56,740,,,0.2731066346168518,0.07458724081516266
56,740,0.06388986110687256,,,
57,749,,0.07083078473806381,,
57,753,,,0.27363815903663635,0.07487784326076508
57,753,0.06896695494651794,,,
58,766,,,0.272969514131546,0.07451236248016357
58,766,0.06362851709127426,,,
59,779,,,0.2710072100162506,0.0734449103474617
59,779,0.06319467723369598,,,
