Test MSE,Train loss,Valid MSE,epoch,step
,,1.7280126810073853,0,24
,0.20797143876552582,,1,49
,,2.004859209060669,1,49
,,1.358872413635254,2,74
,0.5561671257019043,,3,99
,,1.0049982070922852,3,99
,,0.9129557013511658,4,124
,0.34889140725135803,,5,149
,,0.8745659589767456,5,149
,,0.7468315362930298,6,174
,0.21488289535045624,,7,199
,,0.8104799389839172,7,199
,,0.6521055102348328,8,224
,0.14779037237167358,,9,249
,,0.5530942678451538,9,249
,,0.6727519631385803,10,274
,0.1342315673828125,,11,299
,,0.5092153549194336,11,299
,,0.6103708148002625,12,324
,0.21249635517597198,,13,349
,,0.5289990305900574,13,349
,,0.5379527807235718,14,374
,0.09030664712190628,,15,399
,,0.5388451218605042,15,399
,,0.5617155432701111,16,424
,0.054493408650159836,,17,449
,,0.6160398125648499,17,449
,,0.4897367060184479,18,474
,0.14085085690021515,,19,499
,,0.4887349605560303,19,499
,,0.42022040486335754,20,524
,0.20855613052845,,21,549
,,0.471413791179657,21,549
,,0.47686681151390076,22,574
,0.12260066717863083,,23,599
,,0.5721138119697571,23,599
,,0.5274701714515686,24,624
,0.070879727602005,,25,649
,,0.4751160144805908,25,649
,,0.6342639923095703,26,674
,0.2058698982000351,,27,699
,,0.4728890061378479,27,699
,,0.41045549511909485,28,724
,0.08154293894767761,,29,749
,,0.4903373420238495,29,749
,,0.5157632231712341,30,774
,0.12721817195415497,,31,799
,,0.5752121806144714,31,799
,,0.4115053415298462,32,824
,0.10556267201900482,,33,849
,,0.5610634684562683,33,849
,,0.426421195268631,34,874
,0.07974037528038025,,35,899
,,0.39501482248306274,35,899
,,0.3790662884712219,36,924
,0.07387500256299973,,37,949
,,0.531983494758606,37,949
,,0.39748796820640564,38,974
,0.10612518340349197,,39,999
,,0.35124123096466064,39,999
,,0.522053062915802,40,1024
,0.06737424433231354,,41,1049
,,0.3578677773475647,41,1049
,,0.5064921975135803,42,1074
,0.20035597681999207,,43,1099
,,0.34071967005729675,43,1099
,,0.41507434844970703,44,1124
,0.07252441346645355,,45,1149
,,0.34516194462776184,45,1149
,,0.4489525556564331,46,1174
,0.039709459990262985,,47,1199
,,0.36909225583076477,47,1199
,,0.4579552710056305,48,1224
,0.026773611083626747,,49,1249
,,0.42434683442115784,49,1249
,,0.36358392238616943,50,1274
,0.04260161519050598,,51,1299
,,0.4875599443912506,51,1299
,,0.35344886779785156,52,1324
,0.11939509958028793,,53,1349
,,0.4061816930770874,53,1349
,,0.49340420961380005,54,1374
,0.06708031892776489,,55,1399
,,0.3648160696029663,55,1399
,,0.3203651010990143,56,1424
,0.03885405510663986,,57,1449
,,0.3732098937034607,57,1449
,,0.4261471629142761,58,1474
,0.08518695086240768,,59,1499
,,0.37610578536987305,59,1499
0.5249464511871338,,,60,1500
